category	subject_prefix	predicate	object_prefix	count_star()
biolink:CausalGeneToDiseaseAssociation	OMIM	biolink:causes	OMIM	6983
biolink:CorrelatedGeneToDiseaseAssociation	OMIM	biolink:contributes_to	OMIM	661
